state,restaurant_id,time_period,total_emp
1,269,Nov,27.5
1,270,Feb,18
1,270,Nov,33
1,271,Feb,10.5
1,271,Nov,19
1,272,Feb,10.5
1,272,Nov,14
1,273,Feb,11
1,273,Nov,14.5
1,274,Feb,10.5
1,274,Nov,20.5
1,275,Feb,12.5
1,275,Nov,17
1,276,Feb,18
1,276,Nov,16.5
1,277,Feb,17
1,277,Nov,17.5
1,278,Feb,15
1,278,Nov,21
1,279,Feb,19.5
1,279,Nov,33.5
1,280,Feb,13
1,280,Nov,20
1,281,Feb,20.25
1,281,Nov,28.5
1,282,Feb,26
1,282,Nov,35.5
1,283,Feb,15.5
1,283,Nov,31.5
1,284,Feb,24
1,284,Nov,32
1,285,Feb,25.5
1,285,Nov,26.5
1,286,Feb,21.5
1,286,Nov,26.5
1,287,Feb,14
1,287,Nov,42.5
1,288,Feb,20
1,288,Nov,16.5
1,289,Feb,22.5
1,289,Nov,26
1,290,Feb,30
1,290,Nov,33
1,291,Feb,24
1,291,Nov,29
1,292,Feb,22
1,292,Nov,28
1,293,Feb,13
1,293,Nov,24
1,294,Feb,5
1,294,Nov,12
1,295,Feb,13.5
1,295,Nov,19
1,296,Feb,18
1,296,Nov,37
1,297,Feb,24
1,297,Nov,27
1,298,Feb,16.5
1,298,Nov,19.25
1,299,Feb,7
1,299,Nov,21.5
1,300,Feb,11
1,300,Nov,5
1,301,Feb,19.5
1,301,Nov,52.5
1,302,Feb,10
1,302,Nov,20.5
1,303,Feb,13
1,303,Nov,15.5
1,304,Feb,10
1,304,Nov,12
1,305,Feb,12.5
1,305,Nov,16
1,306,Feb,8
1,306,Nov,13.5
1,307,Feb,12
1,307,Nov,5
1,308,Feb,20.5
1,308,Nov,20
1,309,Feb,18.5
1,309,Nov,18.5
1,310,Feb,11.5
1,310,Nov,17.5
1,311,Feb,15
1,311,Nov,17.5
1,312,Feb,13
1,312,Nov,17.5
1,313,Feb,10
1,313,Nov,15
1,314,Feb,17
1,314,Nov,18.5
1,315,Feb,17
1,315,Nov,21
1,316,Feb,20.5
1,316,Nov,28.5
1,317,Feb,19.5
1,317,Nov,39
1,318,Feb,30.5
1,318,Nov,37.5
1,319,Feb,23
1,319,Nov,26.5
1,320,Feb,13
1,320,Nov,25
1,321,Feb,30.25
1,321,Nov,48.5
1,322,Feb,18
1,322,Nov,22.5
1,323,Feb,10
1,323,Nov,12
1,324,Feb,17
1,324,Nov,27
1,325,Feb,25.5
1,325,Nov,27
1,326,Feb,6
1,326,Nov,12
1,327,Feb,11.5
1,327,Nov,19
1,328,Feb,8.5
1,328,Nov,32
1,329,Feb,18.5
1,329,Nov,23.5
1,330,Feb,15.5
1,330,Nov,16.5
1,331,Feb,14.25
1,331,Nov,21
1,332,Feb,38
1,332,Nov,30
1,333,Feb,24.75
1,333,Nov,35.5
1,334,Feb,23
1,334,Nov,16.5
1,335,Feb,24
1,335,Nov,30.5
1,336,Feb,7.5
1,336,Nov,14.5
1,337,Feb,15
1,337,Nov,16.5
1,338,Feb,9.25
1,338,Nov,17
1,339,Feb,11.25
1,339,Nov,5
1,340,Feb,16.5
1,340,Nov,22
1,341,Feb,18.75
1,341,Nov,29
1,342,Feb,13.5
1,342,Nov,18.5
1,343,Feb,15
1,343,Nov,22
1,344,Feb,17.5
1,344,Nov,33
1,345,Feb,17.5
1,345,Nov,26.5
1,346,Feb,15.5
1,346,Nov,24.5
1,347,Feb,16.5
1,347,Nov,25
1,348,Feb,13.5
1,348,Nov,19.5
1,349,Feb,13
1,349,Nov,19.5
1,350,Feb,11.5
1,350,Nov,5
1,351,Feb,29.05
1,351,Nov,36.5
1,352,Feb,13
1,352,Nov,16.5
1,353,Feb,18
1,353,Nov,25
1,354,Feb,30
1,354,Nov,39
1,355,Feb,20.5
1,355,Nov,30
1,356,Feb,10
1,356,Nov,15
1,357,Feb,26
1,357,Nov,30
1,358,Feb,12.5
1,358,Nov,28
1,359,Feb,19.5
1,359,Nov,22.5
1,360,Feb,12
1,360,Nov,28
1,361,Feb,36
1,361,Nov,31
1,362,Feb,21
1,362,Nov,21.5
1,363,Feb,24.5
1,363,Nov,40.5
1,364,Feb,20
1,364,Nov,36
1,365,Feb,26.5
1,365,Nov,28
1,366,Feb,15
1,366,Nov,27.5
1,367,Feb,19
1,367,Nov,26.5
1,368,Feb,17.5
1,368,Nov,17
1,369,Feb,20.5
1,369,Nov,25.5
1,370,Feb,21
1,370,Nov,30
1,371,Feb,10.5
1,371,Nov,13.5
1,372,Feb,23
1,372,Nov,18
1,373,Feb,23
1,373,Nov,26.5
1,374,Feb,29
1,374,Nov,28
1,375,Feb,21
1,375,Nov,30.5
1,376,Feb,41.5
1,376,Nov,26.5
1,377,Feb,12
1,377,Nov,14.5
1,378,Feb,33
1,378,Nov,41.5
1,379,Feb,6.5
1,379,Nov,21
1,380,Feb,9
1,380,Nov,28.75
1,381,Feb,9.75
1,381,Nov,22.5
1,382,Feb,24.5
1,382,Nov,25.5
1,383,Feb,14
1,383,Nov,25.5
1,384,Feb,19.5
1,384,Nov,30
